ti_nome,municipio
Ponte de Pedra,CAMPO NOVO DO PARECIS
Ponte de Pedra,DIAMANTINO
Porquinhos,FERNANDO FALCÃO
Porquinhos,GRAJAÚ
Porquinhos dos Canela-Apãnjekra,FORMOSA DA SERRA NEGRA
Porquinhos dos Canela-Apãnjekra,GRAJAÚ
Porquinhos dos Canela-Apãnjekra,FERNANDO FALCÃO
Portal do Encantado,PONTES E LACERDA
Portal do Encantado,PORTO ESPERIDIÃO
Portal do Encantado,VILA BELA DA SANTÍSSIMA TRINDADE
Porto Limoeiro,SANTO ANTÔNIO DO IÇÁ
Porto Lindo,JAPORÃ
Porto Praia,UARINI
Potiguara,MARCAÇÃO
Potiguara,RIO TINTO
Potiguara,BAÍA DA TRAIÇÃO
Potiguara de Monte-Mor,MARCAÇÃO
Potiguara de Monte-Mor,RIO TINTO
Potrero Guaçu,PARANHOS
Poyanawa,MÂNCIO LIMA
Praia do Índio,ITAITUBA
Praia do Mangue,ITAITUBA
Prosperidade,TONANTINS
Queimadas,ORTIGUEIRA
Raimundão,ALTO ALEGRE
Rancho Jacaré,LAGUNA CARAPÃ
Raposa Serra do Sol,PACARAIMA
Raposa Serra do Sol,UIRAMUTÃ
Raposa Serra do Sol,NORMANDIA
Recreio/São Félix,AUTAZES
Ribeirão Silveira,BERTIOGA
Ribeirão Silveira,SALESÓPOLIS
Ribeirão Silveira,SÃO SEBASTIÃO
Rio Apaporis,JAPURÁ
Rio Areia,INÁCIO MARTINS
Rio Biá,CARAUARI
Rio Biá,JUTAÍ
Rio Branco,ALTA FLORESTA D´OESTE
Rio Branco,SÃO FRANCISCO DO GUAPORÉ
Rio Branco,SÃO MIGUEL DO GUAPORÉ
Rio Branco Itanhaém,ITANHAÉM
Rio Branco Itanhaém,SÃO PAULO
Rio Branco Itanhaém,SÃO VICENTE
Rio das Cobras,ESPIGÃO ALTO DO IGUAÇU
Rio das Cobras,NOVA LARANJEIRAS
Rio dos Índios,VICENTE DUTRA
Rio dos Pardos,PORTO UNIÃO
Rio Formoso,TANGARÁ DA SERRA
Rio Gregório,TARAUACÁ
Rio Guaporé,GUAJARÁ-MIRIM
Rio Jumas,CAREIRO
Rio Manicoré,MANICORÉ
Rio Mequens,ALTO ALEGRE DOS PARECIS
Rio Negro Ocaia,GUAJARÁ-MIRIM
Rio Omerê,CORUMBIARA
Rio Omerê,CHUPINGUAIA
Rio Paru DEste,ALMEIRIM
Rio Paru DEste,MONTE ALEGRE
Rio Paru DEste,ALENQUER
Rio Pindaré,MONÇÃO
Rio Pindaré,BOM JARDIM
Rio Téa,SANTA ISABEL DO RIO NEGRO
Rio Téa,SÃO GABRIEL DA CACHOEIRA
Rio Urubu,ITACOATIARA
Riozinho,JURUÁ
Riozinho,JUTAÍ
Riozinho do Alto Envira,FEIJÓ
Riozinho do Alto Envira,SANTA ROSA DO PURUS
Rodeador,BARRA DO CORDA
Roosevelt,PIMENTA BUENO
Roosevelt,RONDOLÂNDIA
Roosevelt,ESPIGÃO D´OESTE
Sagarana,GUAJARÁ-MIRIM
Sai-Cinza,JACAREACANGA
Salto Grande do Jacuí,SALTO DO JACUÍ
Sambaqui,PONTAL DO PARANÁ
Sangradouro/Volta Grande,NOVO SÃO JOAQUIM
Sangradouro/Volta Grande,POXORÉO
Sangradouro/Volta Grande,GENERAL CARNEIRO
Santa Cruz da Nova Aliança,TONANTINS
Santa Inez,AMAJARI
Santana,NOBRES
São Domingos - MT,LUCIARA
